Topic,Details
FIR,"WhatItIs: An FIR (First Information Report) is an official police document used to begin a criminal investigation under Pakistani law.

StepByStep:
1. Go to the relevant police station (nearest to the incident location).
2. Tell the duty officer what happened in plain language.
3. Provide basic details: date, time, location, persons involved.
4. Ask the SHO to register the FIR under the correct sections.
5. Receive the FIR number and a copy of the FIR.

RequiredDocuments:
1. Your CNIC
2. Any proof (photos, videos, screenshots, witnesses)
3. Written complaint (optional)

WhereToGo:
1. Nearest Police Station
2. Police Facilitation Center (if available)

FeesAndTime: FIR is free of cost. It should be registered immediately if a cognizable offence occurs.

ImportantNotes:
1. Police cannot legally refuse a cognizable FIR.
2. Do not sign any blank papers.
3. Always keep a copy of your FIR.

Escalation:
1. If SHO refuses → Contact DSP/SDPO.
2. If still ignored → Contact SSP/DPO.
3. File complaint on provincial police complaint portal.
4. Last option: file petition in court for FIR registration.

"
Cybercrime Reporting,"WhatItIs: Reporting online harassment, hacking, blackmail, or fraud to FIA Cybercrime Wing.

StepByStep:
1. Visit FIA’s Cybercrime Reporting Portal.
2. Create an account or log in.
3. Upload screenshots, links, and evidence.
4. Submit your written complaint.
5. Wait for FIA to contact you for verification.

RequiredDocuments:
1. CNIC
2. Screenshots with timestamps
3. Links to profiles/pages
4. Chat exports (WhatsApp, Messenger)

WhereToGo:
1. FIA Cybercrime Portal
2. Nearest FIA Cybercrime Report Center
3. FIA Helpline 1991

FeesAndTime: No fee. Case review usually starts within 3–7 days.

ImportantNotes:
1. Do not delete chats.
2. Take screenshots of IDs/phone numbers.
3. Report immediately if blackmail is involved.

Escalation:
1. Call FIA helpline again.
2. Visit nearest FIA office physically.
3. Submit follow-up with complaint number.

"
Property Disputes,"WhatItIs: Disputes related to land, ownership, mutation, illegal possession, or inheritance.

StepByStep:
1. Collect your land documents.
2. Visit the local Patwari/Registry office for verification.
3. If someone illegally occupies land, file a civil suit.
4. Approach the civil court for stay order against illegal construction.
5. Attend hearings until judgment.

RequiredDocuments:
1. Fard/Malikaat ownership papers
2. Registry documents
3. CNIC
4. Witness statements (if any)

WhereToGo:
1. Patwari Office
2. Tehsil Office
3. Civil Court
4. Land Revenue Office

FeesAndTime: Court fees vary; land cases often take months.

ImportantNotes:
1. Keep certified duplicates of all papers.
2. Never hand originals to anyone except court officials.

Escalation:
1. District Judge
2. High Court
3. Anti-Corruption (if Patwari is involved in fraud)

"
Traffic Challans,"WhatItIs: Traffic fine issued by police for violating road rules.

StepByStep:
1. Check challan via your province’s traffic portal.
2. Review vehicle number or CNIC.
3. Pay online or at bank/easypaisa/jazzcash.
4. Save payment receipt.

RequiredDocuments:
1. Vehicle Registration Book
2. CNIC
3. Challan receipt

WhereToGo:
1. City Traffic Police Portal
2. E-Sahulat Centers
3. Banks supporting e-challan

FeesAndTime: Fees depend on violation; processing is instant.

ImportantNotes:
1. Driving without license has heavier penalties.
2. Multiple unpaid challans can cause license suspension.

Escalation:
1. Traffic DSP Office
2. Traffic Court (for contesting)
3. High Court (rare cases)

"
Nikahnama,"WhatItIs: Legal marriage contract under Pakistani law.

StepByStep:
1. Both parties provide CNICs.
2. Nikah registrar fills Nikahnama.
3. Mehr amount is decided.
4. Nikah is performed in witnesses’ presence.
5. Registrar registers it with Union Council.

RequiredDocuments:
1. CNIC (bride & groom)
2. CNIC of father/guardian
3. Two witnesses

WhereToGo:
1. Registered Nikah Khawan
2. Union Council

FeesAndTime: Fees vary by city; registration takes 1–3 days.

ImportantNotes:
1. Ensure registrar is licensed.
2. Get certified copies of Nikahnama.

Escalation:
1. Union Council Secretary
2. Local Government Office

"
Divorce Process,"WhatItIs: Legal process to end a marriage (Talaq or Khula).

StepByStep:
1. Issue written Talaq notice or file Khula suit.
2. Send notice to Union Council.
3. Union Council forms arbitration council.
4. After 90 days, divorce is finalized.
5. NADRA updates marital status.

RequiredDocuments:
1. Nikahnama
2. CNIC
3. Written Talaq notice
4. Court petition (for Khula)

WhereToGo:
1. Union Council
2. Family Court

FeesAndTime: Talaq: 90 days. Khula: 2–6 months.

ImportantNotes:
1. Avoid sending Talaq only via WhatsApp/SMS — use written notice.
2. Mehr rules vary by case.

Escalation:
1. Family Court Judge
2. District Judge

"
NADRA Procedures,"WhatItIs: Processes for CNIC issuance, renewal, correction.

StepByStep:
1. Visit nearest NADRA Registration Center.
2. Take token, biometric, and photo.
3. Submit documents and verification.
4. Collect CNIC on the given date.

RequiredDocuments:
1. Original CNIC/B-Form
2. Family Registration Certificate
3. Supporting documents

WhereToGo:
1. NADRA Registration Center
2. NADRA Mega Center

FeesAndTime: Normal: 7–15 days, Urgent: 2–7 days.

ImportantNotes:
1. Always check spelling mistakes before printing.
2. Take photocopies of all documents.

Escalation:
1. NADRA Complaint Center
2. Regional Head Office

"
Passport Procedures,"WhatItIs: Process to apply, renew, or replace a passport.

StepByStep:
1. Visit Regional Passport Office.
2. Biometric, photo, and data entry.
3. Pay fee based on category (Normal/Urgent).
4. Collect passport on delivery date.

RequiredDocuments:
1. CNIC
2. Old Passport
3. NADRA documents (if required)

WhereToGo:
1. Regional Passport Office
2. Passport Mega Center

FeesAndTime: Normal: 10 days. Urgent: 4 days.

ImportantNotes:
1. Bring photocopies.
2. Keep token and receipt safe.

Escalation:
1. Assistant Director Passport Office
2. DG Passport Complaint Desk

"
Lost CNIC,"WhatItIs: Procedure to replace your lost ID card.

StepByStep:
1. Visit NADRA center.
2. Submit lost report (if required).
3. Biometric verification.
4. Collect CNIC on given date.

RequiredDocuments:
1. CNIC number
2. Family Registration Certificate

WhereToGo:
1. NADRA Center

FeesAndTime: Normal: 7–15 days.

ImportantNotes:
1. In some areas, police report is needed.
2. Secure your biometric details.

Escalation:
1. NADRA Complaints

"
Lost Passport,"WhatItIs: Process to replace a lost passport.

StepByStep:
1. File police report.
2. Visit Passport Office with FIR copy.
3. Submit biometric, forms, and fee.
4. Collect passport on delivery date.

RequiredDocuments:
1. Police FIR
2. CNIC
3. Copy of old passport (if available)

WhereToGo:
1. Passport Office

FeesAndTime: Urgent fees apply.

ImportantNotes:
1. FIR must clearly state 'passport lost'.

Escalation:
1. DG Passport Office

"
Police Harassment,"WhatItIs: Police misuse of authority such as threats, illegal detention, or bribery requests.

StepByStep:
1. Stay calm and record evidence.
2. Note officer name, number, police station.
3. File complaint at district police complaint center.
4. Escalate to SSP if needed.

RequiredDocuments:
1. CNIC
2. Video/audio proof
3. Witness statements

WhereToGo:
1. DPO/SSP Office
2. Provincial Police Complaint Cell

FeesAndTime: Free.

ImportantNotes:
1. Police cannot detain you without reason.
2. Ask for legal grounds politely.

Escalation:
1. DIG
2. IGP
3. Human Rights Cell

"
Tenant-Landlord Disputes,"WhatItIs: Issues related to rent, eviction, deposits, or agreements.

StepByStep:
1. Review your rent agreement.
2. Try to resolve peacefully.
3. Send written notice if needed.
4. File case in Rent Controller Court.

RequiredDocuments:
1. Rent Agreement
2. CNIC
3. Payment receipts

WhereToGo:
1. Rent Controller Court

FeesAndTime: Varies; usually 1–3 months.

ImportantNotes:
1. Verbal agreements are risky.

Escalation:
1. District Judge

"
Consumer Protection,"WhatItIs: Complaints against faulty products, scams, or unfair sellers.

StepByStep:
1. Collect receipts and proof.
2. Send written complaint to seller.
3. If ignored, file case in Consumer Court.

RequiredDocuments:
1. Receipt
2. Product photos
3. Chat proof

WhereToGo:
1. Consumer Court

FeesAndTime: Free filing; 15–45 days typical.

ImportantNotes:
1. Always keep receipts.

Escalation:
1. Consumer Protection Authority

"
Online Scams,"WhatItIs: Frauds via social media or websites.

StepByStep:
1. Take screenshots.
2. Report to FIA.
3. Block scammer.
4. File complaint.

RequiredDocuments:
1. Screenshots
2. Chat logs

WhereToGo:
1. FIA Cybercrime

FeesAndTime: Free.

ImportantNotes:
1. Do not share OTP.

Escalation:
1. FIA Office

"
